    INFO: 2024-10-31 03:21:02,676:               log.py:   20: Logging to C:\Users\Swampy\PycharmProjects\livre\mdpdf.log
   DEBUG: 2024-10-31 03:21:02,676:               cli.py:  103: truc.md
    INFO: 2024-10-31 03:21:02,677:         converter.py:   14: truc.md
   DEBUG: 2024-10-31 03:21:02,706:      pdf_renderer.py:  470: printSegment: Python
   DEBUG: 2024-10-31 03:21:02,710:      pdf_renderer.py:  470: printSegment: Sommaire
   DEBUG: 2024-10-31 03:21:02,710:      pdf_renderer.py:  470: printSegment: 1. Introduction et concepts
   ERROR: 2024-10-31 03:21:02,711:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:7: #1-introduction-et-concepts: No such file or directory
   DEBUG: 2024-10-31 03:21:02,711:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,712:      pdf_renderer.py:  470: printSegment: 1.1. Fonctionnement d
   DEBUG: 2024-10-31 03:21:02,714:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-10-31 03:21:02,715:      pdf_renderer.py:  470: printSegment: un ordinateur
   ERROR: 2024-10-31 03:21:02,716:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:8: #11-fonctionnement-dun-ordinateur: No such file or directory
   DEBUG: 2024-10-31 03:21:02,716:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,716:      pdf_renderer.py:  470: printSegment: 1.1.1. Les composants
   ERROR: 2024-10-31 03:21:02,717:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:9: #les-composants: No such file or directory
   DEBUG: 2024-10-31 03:21:02,717:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,718:      pdf_renderer.py:  470: printSegment: 1.1.2. Mémoire RAM
   ERROR: 2024-10-31 03:21:02,718:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:10: #m%C3%A9moire-ram: No such file or directory
   DEBUG: 2024-10-31 03:21:02,718:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,719:      pdf_renderer.py:  470: printSegment: 1.1.3. CPU
   ERROR: 2024-10-31 03:21:02,719:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:11: #processeur: No such file or directory
   DEBUG: 2024-10-31 03:21:02,719:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,720:      pdf_renderer.py:  470: printSegment: 1.1.3.1. Threads
   ERROR: 2024-10-31 03:21:02,720:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:12: #threads: No such file or directory
   DEBUG: 2024-10-31 03:21:02,720:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,721:      pdf_renderer.py:  470: printSegment: 1.1.3.2. Cache
   ERROR: 2024-10-31 03:21:02,721:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:13: #cache: No such file or directory
   DEBUG: 2024-10-31 03:21:02,722:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,722:      pdf_renderer.py:  470: printSegment: 1.1.4. GPU
   ERROR: 2024-10-31 03:21:02,723:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:14: #carte-graphique: No such file or directory
   DEBUG: 2024-10-31 03:21:02,723:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,724:      pdf_renderer.py:  470: printSegment: 1.1.4.1. Traitement des données
   ERROR: 2024-10-31 03:21:02,724:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:15: #traitement-des-donn%C3%A9es: No such file or directory
   DEBUG: 2024-10-31 03:21:02,724:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,725:      pdf_renderer.py:  470: printSegment: 1.2. Python et ses applications
   ERROR: 2024-10-31 03:21:02,725:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:16: #12-python-et-ses-applications: No such file or directory
   DEBUG: 2024-10-31 03:21:02,726:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,726:      pdf_renderer.py:  470: printSegment: 1.2.1. Les domaines adaptés
